chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
1A,A,0,50000000,877,0.3854,50.26,289,81,9,2.0088,0.32953,0.09236
1A,A,50000000,100000000,356,0.177,50.248,45,15,7,1.7131,0.1264,0.04213
1A,A,100000000,150000000,221,0.1493,50.218,34,13,6,2.1873,0.15385,0.05882
1A,A,150000000,200000000,87,0.2644,47.489,23,9,4,1.5858,0.26437,0.10345
1A,A,200000000,250000000,98,0.1224,47.923,10,6,3,1.1568,0.10204,0.06122
1A,A,250000000,300000000,221,0.1946,49.126,25,13,5,1.3713,0.11312,0.05882
1A,A,300000000,350000000,258,0.1473,51.812,47,21,6,2.1755,0.18217,0.0814
1A,A,350000000,400000000,347,0.1124,51.298,78,17,6,1.2336,0.22478,0.04899
1A,A,400000000,450000000,294,0.102,50.212,29,14,6,2.2425,0.09864,0.04762
1A,A,450000000,500000000,510,0.1137,52.508,204,35,7,1.1903,0.4,0.06863
1A,A,500000000,550000000,680,0.1794,52.587,300,54,10,1.4018,0.44118,0.07941
1A,A,550000000,600000000,751,0.221,51.466,217,55,8,1.8148,0.28895,0.07324
1B,B,0,50000000,1154,0.6135,50.159,258,64,11,2.4091,0.22357,0.05546
1B,B,50000000,100000000,352,0.3068,49.931,136,25,6,1.842,0.38636,0.07102
1B,B,100000000,150000000,294,0.2041,50.845,118,20,7,2.1809,0.40136,0.06803
1B,B,150000000,200000000,220,0.0773,49.491,83,10,5,1.785,0.37727,0.04545
1B,B,200000000,250000000,73,0.1781,46.193,14,7,4,1.7274,0.19178,0.09589
1B,B,250000000,300000000,149,0.1342,48.712,28,11,5,1.4345,0.18792,0.07383
1B,B,300000000,350000000,265,0.1208,51.146,105,20,6,1.6403,0.39623,0.07547
1B,B,350000000,400000000,271,0.1107,51.472,294,19,4,1.0812,1.08487,0.07011
1B,B,400000000,450000000,341,0.1261,50.673,129,17,7,1.3872,0.3783,0.04985
1B,B,450000000,500000000,327,0.0917,51.137,76,21,6,1.4406,0.23242,0.06422
1B,B,500000000,550000000,397,0.2091,51.825,125,23,7,1.7572,0.31486,0.05793
1B,B,550000000,600000000,472,0.1695,51.728,261,50,9,1.7641,0.55297,0.10593
1B,B,600000000,650000000,571,0.2364,51.802,237,54,9,1.6002,0.41506,0.09457
1B,B,650000000,700000000,628,0.2994,50.696,310,52,7,1.1515,0.49363,0.0828
1D,D,0,50000000,973,0.444,49.911,313,69,10,2.3133,0.32169,0.07091
1D,D,50000000,100000000,390,0.1538,50.334,40,19,9,2.3319,0.10256,0.04872
1D,D,100000000,150000000,233,0.0944,49.587,21,12,7,2.2905,0.09013,0.0515
1D,D,150000000,200000000,136,0.1176,47.641,12,7,4,1.614,0.08824,0.05147
1D,D,200000000,250000000,312,0.1763,48.693,45,17,4,1.3948,0.14423,0.05449
1D,D,250000000,300000000,410,0.1927,50.088,24,9,3,0.9406,0.05854,0.02195
1D,D,300000000,350000000,429,0.0816,50.645,35,15,7,2.1405,0.08159,0.03497
1D,D,350000000,400000000,465,0.1312,51.772,35,19,6,2.2916,0.07527,0.04086
1D,D,400000000,450000000,723,0.1798,52.552,79,25,7,2.0936,0.10927,0.03458
1D,D,450000000,500000000,886,0.2246,51.917,80,31,9,1.9036,0.09029,0.03499
2A,A,0,50000000,966,0.1988,50.643,402,87,10,1.8716,0.41615,0.09006
2A,A,50000000,100000000,559,0.136,51.711,126,36,6,1.3542,0.2254,0.0644
2A,A,100000000,150000000,371,0.1321,50.978,46,22,6,2.1564,0.12399,0.0593
2A,A,150000000,200000000,267,0.1236,51.397,34,17,6,2.0066,0.12734,0.06367
2A,A,200000000,250000000,135,0.1481,50.837,34,12,4,1.0174,0.25185,0.08889
2A,A,250000000,300000000,73,0.2466,48.259,23,4,1,0.0,0.31507,0.05479
2A,A,300000000,350000000,92,0.3478,45.372,42,5,3,0.6126,0.45652,0.05435
2A,A,350000000,400000000,137,0.2409,49.659,19,11,3,1.378,0.13869,0.08029
2A,A,400000000,450000000,162,0.1481,50.696,11,7,4,1.8231,0.0679,0.04321
2A,A,450000000,500000000,155,0.1355,49.996,37,12,5,1.6622,0.23871,0.07742
2A,A,500000000,550000000,311,0.1415,51.218,53,23,6,2.009,0.17042,0.07395
2A,A,550000000,600000000,361,0.1247,51.54,46,18,4,1.1368,0.12742,0.04986
2A,A,600000000,650000000,419,0.1337,51.248,73,23,6,1.614,0.17422,0.05489
2A,A,650000000,700000000,545,0.1321,52.352,86,26,8,1.8911,0.1578,0.04771
2A,A,700000000,750000000,863,0.1877,52.219,256,58,8,2.014,0.29664,0.06721
2A,A,750000000,800000000,592,0.2078,51.042,164,49,9,1.6249,0.27703,0.08277
2B,B,0,50000000,894,0.2427,48.993,351,80,12,2.2344,0.39262,0.08949
2B,B,50000000,100000000,466,0.2296,52.41,155,50,7,2.156,0.33262,0.1073
2B,B,100000000,150000000,407,0.1425,51.289,74,32,9,2.1579,0.18182,0.07862
2B,B,150000000,200000000,415,0.1687,51.621,180,35,7,1.2794,0.43373,0.08434
2B,B,200000000,250000000,314,0.1306,50.77,55,24,7,1.56,0.17516,0.07643
2B,B,250000000,300000000,107,0.1776,48.252,4,3,2,1.0,0.03738,0.02804
2B,B,300000000,350000000,54,0.1296,46.159,12,6,5,1.7807,0.22222,0.11111
2B,B,350000000,400000000,280,0.1607,49.675,17,11,5,1.7804,0.06071,0.03929
2B,B,400000000,450000000,255,0.0706,49.785,272,21,6,0.4622,1.06667,0.08235
2B,B,450000000,500000000,376,0.1356,50.399,46,14,4,1.6905,0.12234,0.03723
2B,B,500000000,550000000,366,0.1557,50.809,66,27,6,1.4375,0.18033,0.07377
2B,B,550000000,600000000,323,0.1331,52.122,98,32,6,1.6363,0.30341,0.09907
2B,B,600000000,650000000,357,0.1569,51.144,128,31,6,1.8037,0.35854,0.08683
2B,B,650000000,700000000,501,0.1517,51.997,166,37,8,1.9603,0.33134,0.07385
2B,B,700000000,750000000,509,0.1945,51.534,193,45,8,2.0513,0.37917,0.08841
2B,B,750000000,800000000,740,0.2324,51.169,240,54,8,1.5557,0.32432,0.07297
2B,B,800000000,850000000,19,0.2632,50.702,17,7,3,0.8343,0.89474,0.36842
2D,D,0,50000000,987,0.228,50.457,251,75,10,2.0105,0.25431,0.07599
2D,D,50000000,100000000,585,0.1333,52.222,410,34,10,1.1954,0.70085,0.05812
2D,D,100000000,150000000,434,0.129,52.008,54,16,7,1.8536,0.12442,0.03687
2D,D,150000000,200000000,301,0.093,51.135,29,10,6,1.4444,0.09635,0.03322
2D,D,200000000,250000000,86,0.1279,48.095,2,2,2,1.0,0.02326,0.02326
2D,D,250000000,300000000,126,0.1746,46.277,5,4,2,0.971,0.03968,0.03175
2D,D,300000000,350000000,269,0.0706,49.85,12,6,3,0.8167,0.04461,0.0223
2D,D,350000000,400000000,331,0.0967,50.389,42,13,4,1.1003,0.12689,0.03927
2D,D,400000000,450000000,411,0.0998,51.623,35,13,5,1.0904,0.08516,0.03163
2D,D,450000000,500000000,418,0.1196,51.516,36,14,7,2.1638,0.08612,0.03349
2D,D,500000000,550000000,473,0.1163,52.246,57,20,8,2.2231,0.12051,0.04228
