chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
1A,A,0,10000000,321,0.5234,50.305,113,39,9,1.9787,0.35202,0.1215
1A,A,10000000,20000000,170,0.2471,50.311,73,23,6,1.7021,0.42941,0.13529
1A,A,20000000,30000000,177,0.4576,50.359,52,26,6,1.9419,0.29379,0.14689
1A,A,30000000,40000000,112,0.25,50.507,32,19,5,1.9077,0.28571,0.16964
1A,A,40000000,50000000,97,0.1959,49.554,19,12,5,2.1043,0.19588,0.12371
1A,A,50000000,60000000,85,0.1529,49.918,27,10,4,1.354,0.31765,0.11765
1A,A,60000000,70000000,70,0.2,52.133,6,1,2,0.65,0.08571,0.01429
1A,A,70000000,80000000,57,0.1754,49.755,8,3,2,0.8113,0.14035,0.05263
1A,A,80000000,90000000,45,0.1778,49.72,2,1,2,1.0,0.04444,0.02222
1A,A,90000000,100000000,99,0.1818,49.723,2,2,2,1.0,0.0202,0.0202
1A,A,100000000,110000000,62,0.0806,49.139,8,4,4,1.9056,0.12903,0.06452
1A,A,110000000,120000000,58,0.2414,49.483,14,6,5,2.0202,0.24138,0.10345
1A,A,120000000,130000000,37,0.1081,53.215,5,3,3,1.5219,0.13514,0.08108
1A,A,130000000,140000000,36,0.1389,49.817,4,4,3,1.5,0.11111,0.11111
1A,A,140000000,150000000,28,0.1786,50.687,3,3,2,0.9183,0.10714,0.10714
1A,A,150000000,160000000,32,0.25,49.268,7,3,3,1.4488,0.21875,0.09375
1A,A,160000000,170000000,20,0.25,44.453,2,2,2,1.0,0.1,0.1
1A,A,170000000,180000000,14,0.2857,46.8,6,5,2,0.9183,0.42857,0.35714
1A,A,180000000,190000000,14,0.1429,48.105,6,5,2,0.65,0.42857,0.35714
1A,A,190000000,200000000,7,0.5714,48.176,2,2,2,1.0,0.28571,0.28571
1A,A,200000000,210000000,13,0.3846,47.394,2,2,1,0.0,0.15385,0.15385
